product_name,product_price,product_brand,product_image_url,product_url
Vans Sam Taxwood Standard MTE Shoes,"€ 79,95",Vans,//images.blue-tomato.com/is/image/bluetomato/304300402_front.jpg-B5tVevRz81GmWV0U0bSuLsC4_gI/Union+Strata+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Vans-Sam+Taxwood+Standard+MTE+Winterschuhe-628301/
Union Contact Pro 2021,"€ 99,95",Union,//images.blue-tomato.com/is/image/bluetomato/304300186_front.jpg-BOrzYusiG0Plm0bOOh1K_SocS7I/Capita+Defenders+Of+Awesome+159W+2021+Snowboard.jpg?$b1$,/de-AT/product/Union-Contact+Pro+2021+Snowboardbindung-618611/
Lib Tech Travis Rice Orca 150 2021,"€ 184,95",Lib Tech,//images.blue-tomato.com/is/image/bluetomato/303924730_front.jpg-qAirhTxj79KqE6lzER0HGcg-knw/Anon+Raider+3+Helm.jpg?$b1$,/de-AT/product/Lib+Tech-Travis+Rice+Orca+150+2021+Snowboard-628801/
Smith Scout Helmet,"€ 219,95",Smith,//images.blue-tomato.com/is/image/bluetomato/303994277_front.jpg-1woHxCoWM61B1-a7Kx7tJwyf9Jc/DEELUXE+Team+ID+PF+2020+Snowboardboots.jpg?$b1$,/de-AT/product/Smith-Scout+Helm-538578/?colid=matte+french+navy
Lib Tech Travis Rice Pro Pointy 1645W 2021,"€ 649,95",Lib Tech,//images.blue-tomato.com/is/image/bluetomato/304300160_front.jpg-uwIIvxcXm0iUeBIMJocdAba6Nbk/Capita+Super+DOA+154+2021+Snowboard.jpg?$b1$,/de-AT/product/Lib+Tech-Travis+Rice+Pro+Pointy+1645W+2021+Snowboard-628758/
Jones Snowboards Mercury Snowboard Bindings 2021,"€ 79,95",Jones Snowboards,//images.blue-tomato.com/is/image/bluetomato/304372927_front.jpg-MG9xlvmQQ6dU9nwM43V7XpDXi-s/Lib+Tech+Travis+Rice+Pro+Blunt+153+2021+Snowboard.jpg?$b1$,/de-AT/product/Jones+Snowboards-Mercury+Snowboard+Bindung+2021-629275/
Union Strata 2021,"€ 599,95",Union,//images.blue-tomato.com/is/image/bluetomato/304321087_front.jpg-Zf2iihhtfU3r0eon4aYdpkHsoCI/Nitro+Anthem+TLS+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Union-Strata+2021+Snowboardbindung-618609/
Capita Defenders Of Awesome 159W 2021,"€ 349,95",Capita,//images.blue-tomato.com/is/image/bluetomato/304300171_front.jpg-Jo-Pyf05En-Nb65MIoGlL1HHD2M/Capita+Mercury+157+2021+Snowboard.jpg?$b1$,/de-AT/product/Capita-Defenders+Of+Awesome+159W+2021+Snowboard-618467/
Anon Raider 3 Helmet,"€ 279,95",Anon,//images.blue-tomato.com/is/image/bluetomato/304370132_front.jpg-7oRUZoMU9o_xLry16oJndMdndb4/Dragon+NFX2+Comp+Bonus+Lens+Goggle.jpg?$b1$,/de-AT/product/Anon-Raider+3+Helm-567238/
DEELUXE Team ID PF 2020,"€ 479,95",DEELUXE,//images.blue-tomato.com/is/image/bluetomato/304378398_front.jpg-so0mbspfpBu40tK6DQVMvB9jnHY/Salomon+Spell+Helm.jpg?$b1$,/de-AT/product/DEELUXE-Team+ID+PF+2020+Snowboardboots-575649/
Capita Super D.O.A. 154 2021 Snowboard,"€ 79,95",Capita,//images.blue-tomato.com/is/image/bluetomato/304300470_front.jpg-eYwHENpKolYmfsG8BH8sS5f0XQw/Union+Rosa+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Capita-Super+DOA+154+2021+Snowboard-618441/
